visit_id,species,visit_start,visit_end,duration_seconds,max_count_seen
464409d8-6e6e-431a-96ab-52c63d5c3a5b,zebra,2026-05-26 17:01:02,2026-05-26 17:01:11,9.45,1
655653aa-34fb-403f-b8aa-fa0b03172664,giraffe,2026-05-26 17:01:23,2026-05-26 17:01:24,0.56,1
c0777562-2e8b-4238-81f1-73d0fbb5cfde,zebra,2026-05-26 17:01:52,2026-05-26 17:02:33,40.76,2
f251f58c-f50d-40d5-8426-083729447273,giraffe,2026-05-26 17:03:40,2026-05-26 17:03:40,0.0,1
6f51807e-b9ec-4dd8-9eef-cd6ef885d2b3,zebra,2026-05-26 17:03:16,2026-05-26 17:05:18,122.35,2
c34aa48f-aa6a-42f4-a3b3-680cc05b2f1a,bird,2026-05-26 17:05:14,2026-05-26 17:05:19,5.06,1
14b50aaa-4831-498d-879a-4af31dbd0bb1,bird,2026-05-26 17:05:29,2026-05-26 17:05:29,0.0,1
ab155430-dabd-4101-9922-672708178a50,zebra,2026-05-26 17:05:36,2026-05-26 17:05:57,21.27,1
b72cfa3a-8a7b-4848-9a85-e3a329a3bd09,bird,2026-05-26 17:08:29,2026-05-26 17:08:44,14.82,1
3e2e2277-7046-4376-a24d-7f20ad7f69b3,bird,2026-05-26 17:09:06,2026-05-26 17:09:23,17.22,1
03a609d0-a02b-418e-bc9e-7a171d5fc62a,bird,2026-05-26 17:09:51,2026-05-26 17:09:51,0.07,1
bc6cff0f-e2a9-4191-b0a1-3008812d2a77,bird,2026-05-26 17:10:16,2026-05-26 17:10:39,23.37,1
b2c28879-b67f-4a60-a9ee-a2b024844de3,bird,2026-05-26 17:10:54,2026-05-26 17:10:54,0.07,1
bb557854-d6d4-4b01-8b54-2ceac64c0fec,bird,2026-05-26 17:11:05,2026-05-26 17:11:57,52.65,1
d1c5ef26-a19d-43b2-b996-c74d50f25c0e,bird,2026-05-26 17:12:46,2026-05-26 17:12:46,0.37,1
66bd53a0-ae62-4103-a123-2bff7556c05a,zebra,2026-05-27 08:22:16,2026-05-27 08:22:23,7.05,1
19a8d921-3114-45da-8446-98b29a72733b,zebra,2026-05-27 08:22:35,2026-05-27 08:22:37,1.41,2
48325c0a-323c-4138-9e3c-7dc4bed9c3bd,antelope_like,2026-05-27 08:25:20,2026-05-27 08:25:20,0.5,1
e0481eea-1862-4e5d-9586-36702e6dadd5,antelope_like,2026-05-27 08:25:47,2026-05-27 08:25:47,0.24,1
e3d9b4a7-9092-40fe-9ebf-600083f6d07c,ungulate,2026-05-27 08:26:05,2026-05-27 08:26:05,0.6,1
b3f8ea2a-f4b1-4e7e-82da-bef7a1dabd4d,ungulate,2026-05-27 15:20:05,2026-05-27 15:20:07,2.14,1
30e7fd58-57e8-4904-a8d6-e4f828dbae18,ungulate,2026-05-27 15:20:21,2026-05-27 15:20:29,7.66,1
1456a775-dd15-4e1b-8d0e-fe68898c8b5d,ungulate,2026-05-27 15:21:08,2026-05-27 15:21:15,6.62,1
9a911ae0-28a2-45cb-aaac-7db7376494fe,antelope_like,2026-05-27 15:18:24,2026-05-27 15:21:16,172.61,3
c591f63b-e264-4bc8-af01-0a4fe0669384,bird,2026-05-27 15:21:25,2026-05-27 15:21:28,2.97,1
5596f486-b7d5-4f61-9ea0-2241b8b7facf,ungulate,2026-05-27 15:21:36,2026-05-27 15:21:36,0.0,1
21b1c989-9eb9-46fb-ae3f-05cb2785f351,antelope_like,2026-05-27 15:21:28,2026-05-27 15:53:58,1949.38,2
55cc574f-81ac-4289-94ac-441988838cc1,antelope_like,2026-05-27 17:36:14,2026-05-27 17:37:02,47.55,1
acaa929b-7e43-4c71-ab2e-edfd69037835,elephant,2026-05-27 17:36:15,2026-05-27 17:37:23,67.41,1
1ff65d78-a385-4cd7-9f30-8a0e454a74a0,elephant,2026-05-27 17:38:13,2026-05-27 17:38:14,0.94,1
2fd25558-e181-4ff5-8d50-aafbadf3d370,bird,2026-05-27 17:38:46,2026-05-27 17:38:46,0.0,1
c1dd3a3a-64d1-49ab-8603-df276334cb35,elephant,2026-05-27 17:38:33,2026-05-27 17:39:00,27.61,1
2a451602-0eae-4ca5-83cb-504cc6e715dd,bird,2026-05-27 17:39:37,2026-05-27 17:39:42,4.17,1
2d63e442-3119-4ad6-bbf6-30b5696e2053,elephant,2026-05-27 17:39:28,2026-05-27 17:39:58,29.3,1
14a5b342-41d4-4109-93a2-5644e3798da8,antelope_like,2026-05-27 17:37:19,2026-05-27 17:40:44,205.2,1
0888b8b8-deee-4381-887e-34a5ee2b2efa,bird,2026-05-27 17:40:57,2026-05-27 17:40:57,0.18,1
ead17e53-9379-4fcf-af8c-b1290663d942,antelope_like,2026-05-27 17:40:55,2026-05-27 17:40:59,3.67,1
60448e8b-e346-47cb-a4d3-9da52d9404a4,antelope_like,2026-05-27 17:41:29,2026-05-27 17:42:14,45.0,1
6de831cf-3f2f-4c01-8452-b5483347d28d,elephant,2026-05-27 17:40:08,2026-05-27 17:43:19,190.45,1
